127.0.0.1 - - [23/Jun/2020:23:58:57 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [23/Jun/2020:23:59:00 +0900] "GET /Lecture_Evaluation/ HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [23/Jun/2020:23:59:00 +0900] "GET /Lecture_Evaluation/emailSendConfirm.jsp HTTP/1.1" 200 90
0:0:0:0:0:0:0:1 - - [23/Jun/2020:23:59:01 +0900] "GET /Lecture_Evaluation/userLogin.jsp HTTP/1.1" 200 3172
0:0:0:0:0:0:0:1 - - [23/Jun/2020:23:59:01 +0900] "GET /Lecture_Evaluation/js/jquery.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [23/Jun/2020:23:59:01 +0900] "GET /Lecture_Evaluation/css/bootstrap.min.css HTTP/1.1" 200 160403
0:0:0:0:0:0:0:1 - - [23/Jun/2020:23:59:01 +0900] "GET /Lecture_Evaluation/js/bootstrap.min.js HTTP/1.1" 200 60174
0:0:0:0:0:0:0:1 - - [23/Jun/2020:23:59:01 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 200 231
0:0:0:0:0:0:0:1 - - [23/Jun/2020:23:59:08 +0900] "GET /Lecture_Evaluation/userLogin.jsp HTTP/1.1" 200 3172
0:0:0:0:0:0:0:1 - - [23/Jun/2020:23:59:08 +0900] "GET /Lecture_Evaluation/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:23:59:08 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:23:59:08 +0900] "GET /Lecture_Evaluation/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:23:59:08 +0900] "GET /Lecture_Evaluation/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:23:59:08 +0900] "GET /Lecture_Evaluation/userLogin.jsp HTTP/1.1" 200 3172
0:0:0:0:0:0:0:1 - - [23/Jun/2020:23:59:08 +0900] "GET /Lecture_Evaluation/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:23:59:08 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:23:59:08 +0900] "GET /Lecture_Evaluation/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:23:59:08 +0900] "GET /Lecture_Evaluation/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:23:59:14 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [23/Jun/2020:23:59:14 +0900] "GET /Lecture_Evaluation/emailSendConfirm.jsp HTTP/1.1" 200 90
0:0:0:0:0:0:0:1 - - [23/Jun/2020:23:59:15 +0900] "GET /Lecture_Evaluation/userLogin.jsp HTTP/1.1" 200 3172
0:0:0:0:0:0:0:1 - - [23/Jun/2020:23:59:15 +0900] "GET /Lecture_Evaluation/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:23:59:15 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:23:59:15 +0900] "GET /Lecture_Evaluation/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:23:59:15 +0900] "GET /Lecture_Evaluation/js/bootstrap.min.js HTTP/1.1" 304 -
